Type,Year,Production
Cheddar,2010/11,154720
Semi Hard,2010/11,68176
Hard Grating,2010/11,13591
Fresh,2010/11,95431
Mould,2010/11,6739
Cheddar,2011/12,160683
Semi Hard,2011/12,67023
Hard Grating,2011/12,13871
Fresh,2011/12,99024
Mould,2011/12,5930
Cheddar,2012/13,157996
Semi Hard,2012/13,57190
Hard Grating,2012/13,14681
Fresh,2012/13,102342
Mould,2012/13,6103
Cheddar,2013/14,151721
Semi Hard,2013/14,44749
Hard Grating,2013/14,13762
Fresh,2013/14,95764
Mould,2013/14,5504
Cheddar,2014/15,178836
Semi Hard,2014/15,43938
Hard Grating,2014/15,9885
Fresh,2014/15,104992
Mould,2014/15,6491
Cheddar,2015/16,171590
Semi Hard,2015/16,49559
Hard Grating,2015/16,5040
Fresh,2015/16,110767
Mould,2015/16,7300
