Month,AverageSizeOfArmy,ZymoticDiseases,WoundsInjuries,AllOtherCauses,ZymoticDiseases,WoundsInjuries,AllOtherCauses,
185404,8571,1,0,5,1.4,0,7,
185405,23333,12,0,9,6.2,0,4.6,
185406,28333,11,0,6,4.7,0,2.5,
185407,28722,359,0,23,150,0,9.6,
185408,30246,828,1,30,328.5,0.4,11.9,
185409,30290,788,81,70,312.2,32.1,27.7,
185410,30643,503,132,128,197,51.7,50.1,
185411,29736,844,287,106,340.6,115.8,42.8,
185412,32779,1725,114,131,631.5,41.7,48,
185501,32393,2761,83,324,1022.8,30.7,120,
185502,30919,2120,42,361,822.8,16.3,140.1,
185503,30107,1205,32,172,480.3,12.8,68.6,
185504,32252,477,48,57,177.5,17.9,21.2,
185505,35473,508,49,37,171.8,16.6,12.5,
185506,38863,802,209,31,247.6,64.5,9.6,
185507,42647,382,134,33,107.5,37.7,9.3,
185508,44614,483,164,25,129.9,44.1,6.7,
185509,47751,189,276,20,47.5,69.4,5,
185510,46852,128,53,18,32.8,13.6,4.6,
185511,37853,178,33,32,56.4,10.5,10.1,
185512,43217,91,18,28,25.3,5,7.8,
185601,44212,42,2,48,11.4,0.5,13,
185602,43485,24,0,19,6.6,0,5.2,
185603,46140,15,0,35,3.9,0,9.1,
