Property,Type,Agent,Bedrooms,Bathrooms,Carspots,Sold,Date
19 Watkin Street Newtown,House,RayWhite,4,1,1,1975,23/6/17
30 Pearl Street Newtown,House,RayWhite,2,1,0,1250,23/6/17
26 John Street Newtowmn,House,Belle,2,1,0,1280,17/6/17
23/617-623 King Street Newtown,Apartment,RayWhite,1,1,1,780,17/6/17
12/2-6 Brown Street Newtown,Apartment,Raine&Horne,1,1,1,650,17/6/17
81 Station Street Newtown,House,RayWhite,5,1,1,2100,16/6/17
63/3-13 Ersenville Road Newtown,Unit,TraversGray,1,1,0,675,22/6/17
4/502 King Street Newtown,Apartment,HarrisPartners,1,1,1,740,19/6/17
14/163 Australia Street Newtown,Apartment,R&W,1,1,1,625,16/6/17
8 Trade Street Newtown,House,McGrath,3,2,0,1950,8/6/17
5/222 Wilson Street Newtown,Apartment,BresicWhitney,3,2,1,1375,5/6/17
103 Wilson Street Newtown,House,Raine&Horne,2,1,1,1575,3/6/17
5 Fulham Street Newtown,House,R&W,1,1,0,999,1/6/17
11/83-81 Wilson Street Newtown,Apartment,R&W,2,1,2,955,1/6/17
46/2-6 Brown Street Newtown,Unit,RayWhite,2,1,1,860,1/6/17
5 Kent Street Newtown,House,RayWhite,4,3,0,1605,27/5/17
171 Union Street Newtown,House,Urbane,2,1,1,1590,27/5/17
31 Hulham Street Newtown,House,Raine&Horne,2,1,0,1240,26/5/17
514/88 King Street Newtown,Studio,McGrath,0,1,0,370,26/5/17
7 Hordern Street Newtown,House,Raine&Horne,3,3,0,1940,24/5/17
13/20 Fitzgerald Street Newtown,Apartment,Raine&Horne,1,1,0,720,24/5/17
49/37 Iredale Street Newtown,Apartment,GreenSquareResidential,2,1,2,955,20/5/17
14/83-91 Wilson Street Newtown,Apartment,Raine&Horne,2,1,1,920,18/5/17
7 Pine Street Newtown,House,Raine&Horne,3,1,2,1850,13/5/17
18 Holmwood Street Newtown,House,Urbane,3,1,1,1600,13/5/17
B303/38 Alice Street Newtown,Apartment,Raine&Horne,1,1,0,755,13/5/17
4 Herbert Street Newtown,House,RayWhite,2,1,1,1400,9/5/17
13 Baltic Street Newtown,House,EeRealEstate,2,1,0,1553,8/5/17
49 Station Street Newtown,House,Urbane,4,2,2,2810,6/5/17
68 Newman Street Newtown,House,Viewey,2,2,1,1600,6/5/17
27 Darley Street Newtown,House,Raine&Horne,3,2,2,2200,4/5/17
4 Phillip Street Newtown,House,GerberProperties,4,1,0,1780,1/5/17
6 Dickson Street Newtown,House,Urbane,3,1,1,1806,29/4/17
1 Pearl Street Newtown,House,RayWhite,3,1,0,1701,29/4/17
5/5-17 Queen Street Newtown,Townhouse,LJHooker,2,1,1,1309,29/4/17
109/32 Alice Street Newtown,Apartment,Martin,2,2,1,1100,29/4/17
64/546 King Street Newtown,Apartment,Viewey,2,1,2,935,29/4/17
1/60 Wilson Street Newtown,Apartment,Urbane,1,1,1,645,24/4/17
37 Ferndale Street Newtown,House,LJHooker,3,1,0,1460,22/4/17
67 Holmwood Street Newtown,House,Raine&Horne,2,1,0,1370,22/4/17
113/63-71 Enmore Road Newtown,Apartment,LJHooker,1,1,1,692,20/4/17
41 Fulham Street Newtown,House,RayWhite,4,3,2,3150,11/4/17
37 Darley Street Newtown,House,EeRealEstate,4,3,1,2410,11/4/17
22/617 King Street Newtown,Apartment,RayWhite,1,1,1,770,11/4/17
137 Station Street Newtown,House,R&W,4,1,0,1662,10/4/17
155 Wilson Street Newtown,House,Viewey,3,2,1,2235,8/4/17
75 Wilson Street Newtown,House,Raine&Horne,3,2,2,2000,8/4/17
"110 Chelm,sford Street Newtown",House,RayWhite,2,1,1,1790,8/4/17
14 Iredale Street Newtown,House,Urbane,3,1,1,1750,8/4/17
6 Bennett Street Newtown,House,Raine&Horne,3,1,0,1710,8/4/17
31 Trade Street Newtown,House,LJHooker,3,1,1,1600,8/4/17
12/480 King Street Newtown,Apartment,OneAgency,2,1,1,861,8/4/17
412/1 Georgina Street Newtown,Apartment,Urbane,1,1,1,740,8/4/17
204 Edgeward Road Newtown,House,Iskandar,2,1,0,1315,7/4/17
17 Brown Street Newtown,House,McGrath,3,1,1,2300,5/4/17
5/39 Laura Street Newtown,Apartment,PlanetProperties,2,1,1,812,1/4/17
